cprovincia	cciudad	cparroquia	nombre	zona
14	04	51	ARAPICOS	R
14	05	50	SANTIAGO DE MENDEZ, CABECERA CANTONAL	U
14	05	51	COPAL	R
14	05	52	CHUPIANZA	R
14	05	53	PATUCA	R
14	05	55	*SANTIAGO	R
14	05	56	TAYUZA	R
14	05	57	SAN FRANCISCO DE CHINIMBIMI	R
14	06	50	SUCUA, CABECERA CANTONAL	U
14	06	51	ASUNCION	R
14	06	52	HUAMBI	R
14	06	53	*LOGROÑO	R
14	06	54	*YAUPI	R
14	06	55	SANTA MARIANITA DE JESUS	R
14	07	50	HUAMBOYA, CABECERA CANTONAL	U
14	07	51	CHIGUAZA	R
14	07	52	*PABLO SEXTO	R
14	08	50	SAN JUAN BOSCO, CABECERA CANTONAL	U
14	08	51	PAN DE AZUCAR	R
14	08	52	SAN CARLOS DE LIMON	R
14	08	53	SAN JACINTO DE WAKAMBEIS	R
14	08	54	SANTIAGO DE PANANZA	R
14	09	50	TAISHA, CABECERA CANTONAL	U
14	09	51	HUASAGA (CAB. EN WAMPUIK)	R
14	09	52	MACUMA	R
14	09	53	TUUTINENTZA	R
14	10	50	LOGROÑO, CABECERA CANTONAL	U
14	10	51	YAUPI	R
14	10	52	SHIMPIS	R
15	01	50	TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
15	01	51	AHUANO	R
15	01	53	CHONTAPUNTA	R
15	01	54	PANO	R
15	01	55	PUERTO MISAHUALLI	R
15	01	56	PUERTO NAPO	R
15	01	57	TALAG	R
15	03	50	ARCHIDONA, CABECERA CANTONAL	U
15	03	51	*AVILA	R
15	03	52	COTUNDO	R
15	03	53	*LORETO	R
15	04	50	EL CHACO, CABECERA CANTONAL	U
15	04	52	LINARES	R
15	04	53	OYACACHI	R
15	04	54	SANTA ROSA	R
15	04	55	SARDINAS	R
15	07	50	BAEZA, CABECERA CANTONAL	U
15	07	51	COSANGA	R
15	07	52	CUYUJA	R
15	07	53	PAPALLACTA	R
15	07	55	*SAN JOSE DEL PAYAMINO	R
15	07	56	SUMACO	R
15	09	50	CARLOS JULIO AROSEMENA TOLA, CABECERA CANTONAL	U
16	01	50	PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
16	01	51	*ARAJUNO	R
16	01	52	CANELOS	R
16	01	53	*CURARAY	R
16	01	54	DIEZ  DE AGOSTO	R
16	01	55	FATIMA	R
16	01	56	MONTALVO (ANDOAS)	R
16	01	57	POMONA	R
16	01	58	RIO CORRIENTES	R
16	01	59	RIO TIGRE	R
16	01	60	*SANTA CLARA	R
16	01	61	SARAYACU	R
16	01	63	TARQUI	R
16	01	64	TENIENTE HUGO ORTIZ	R
16	01	66	EL TRIUNFO	R
16	02	50	MERA, CABECERA CANTONAL	U
16	02	51	MADRE TIERRA	R
01	01	01	BELLAVISTA	U
01	01	02	CAÑARIBAMBA	U
01	01	03	EL BATAN	U
01	01	04	EL SAGRARIO	U
01	01	05	EL VECINO	U
01	01	06	GIL RAMIREZ DAVALOS	U
01	01	07	HUAYNACAPAC	U
01	01	08	MACHANGARA	U
01	01	09	MONAY	U
01	01	10	SAN BLAS	U
01	01	11	SAN SEBASTIAN	U
01	01	12	SUCRE	U
01	01	13	TOTORACOCHA	U
01	01	14	YANUNCAY	U
01	01	50	CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.	U
01	01	51	BAÑOS	R
01	01	52	CUMBE	R
01	01	53	CHAUCHA	R
01	01	54	CHECA (JIDCAY)	R
01	01	55	CHIQUINTAD	R
01	01	56	LLACAO	R
01	01	57	MOLLETURO	R
01	01	58	NULTI	R
01	01	60	PACCHA	R
01	01	61	QUINGEO	R
01	01	62	RICAURTE	R
01	01	63	SAN JOAQUIN	R
01	01	64	SANTA ANA	R
01	01	65	SAYAUSI	R
01	01	66	SIDCAY	R
01	01	67	SININCAY	R
01	01	68	TARQUI	R
01	01	69	TURI	R
01	01	70	VALLE	R
01	01	71	VICTORIA DEL PORTETE (IRQUIS)	R
01	02	50	GIRON, CABECERA CANTONAL	U
01	02	51	ASUNCION	R
01	02	52	SAN GERARDO	R
01	03	50	GUALACEO, CABECERA CANTONAL	U
01	03	51	*CHORDELEG	R
01	03	53	JADAN	R
04	02	55	SAN RAFAEL	R
04	03	01	EL ANGEL	U
04	03	02	27 DE SEPTIEMBRE	U
04	03	50	EL ANGEL, CABECERA CANTONAL	U
04	03	51	EL GOALTAL	R
04	03	52	LA LIBERTAD (ALIZO)	R
04	03	53	SAN ISIDRO	R
04	04	50	MIRA (CHONTAHUASI), CABECERA CANTONAL	U
04	02	53	MONTE OLIVO	R
04	02	54	SAN VICENTE DE PUSIR	R
04	04	51	CONCEPCION	R
04	05	01	GONZALEZ SUAREZ	U
04	05	02	SAN JOSE	U
04	05	50	SAN GABRIEL, CABECERA CANTONAL	U
04	05	51	CRISTOBAL COLON	R
04	05	52	CHITAN DE NAVARRETE	R
04	05	53	FERNANDEZ SALVADOR	R
04	05	54	LA PAZ	R
04	05	55	PIARTAL	R
04	06	50	HUACA, CABECERA CANTONAL	U
04	06	51	MARISCAL SUCRE	R
05	01	01	ELOY ALFARO (SAN FELIPE)	U
05	01	02	IGNACIO FLORES (PARQUE FLORES)	U
05	01	03	JUAN MONTALVO (SAN SEBASTIAN)	U
05	01	04	LA MATRIZ	U
05	01	05	SAN BUENAVENTURA	U
05	01	50	LATACUNGA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
05	01	51	ALAQUES (ALAQUEZ)	R
05	01	52	BELISARIO QUEVEDO (GUANAILIN)	R
05	01	53	GUAITACAMA (GUAYTACAMA)	R
05	01	54	JOSEGUANGO BAJO	R
05	01	55	*LAS PAMPAS	R
05	01	56	MULALO	R
05	01	57	11 DE NOVIEMBRE (ILINCHISI)	R
05	01	58	POALO	R
05	01	59	SAN JUAN DE PASTOCALLE	R
05	01	60	*SIGCHOS	R
05	01	61	TANICUCHI	R
05	01	62	TOACASO	R
05	01	63	*PALO QUEMADO	R
05	02	50	LA MANA, CABECERA CANTONAL	U
05	02	52	PUCAYACU	R
05	03	50	EL CORAZON, CABECERA CANTONAL	U
05	03	51	MORASPUNGO	R
05	03	52	PINLLOPATA	R
05	03	53	RAMON CAMPAÑA	R
05	04	50	PUJILI, CABECERA CANTONAL	U
05	04	51	ANGAMARCA	R
05	04	52	*CHUCCHILAN (CHUGCHILAN)	R
05	04	53	GUANGAJE	R
05	04	54	*ISINLIBI (ISINLIVI)	R
05	04	55	LA VICTORIA	R
05	04	56	PILALO	R
05	04	57	TINGO	R
05	04	58	ZUMBAHUA	R
05	05	50	SAN MIGUEL	U
05	05	52	CUSUBAMBA	R
05	05	53	MULALILLO	R
05	05	54	MULLIQUINDIL (SANTA ANA)	R
05	05	55	PANSALEO	R
05	06	50	SAQUISILI, CABECERA CANTONAL	U
05	06	51	CANCHAGUA	R
05	06	52	CHANTILIN	R
05	06	53	COCHAPAMBA	R
05	07	50	SIGCHOS, CABECERA CANTONAL	U
05	07	51	CHUGCHILLAN	R
05	07	52	ISINLIVI	R
05	07	53	LAS PAMPAS	R
05	07	54	PALO QUEMADO	R
06	01	01	LIZARZABURU	U
06	01	02	MALDONADO	U
06	01	03	VELASCO	U
06	01	04	VELOZ	U
06	01	05	YARUQUIES	U
06	01	50	RIOBAMBA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
06	01	51	CACHA (CAB. EN MACHANGARA)	R
06	01	52	CALPI	R
06	01	53	CUBIJIES	R
06	01	54	FLORES	R
06	01	55	*LICAN	R
06	01	56	LICTO	R
06	01	57	PUNGALA	R
06	01	58	PUNIN	R
06	01	59	QUIMIAG	R
06	01	60	SAN JUAN	R
06	01	61	SAN LUIS	R
06	02	50	ALAUSI, CABECERA CANTONAL	U
06	02	51	ACHUPALLAS	R
06	02	52	*CUMANDA	R
06	02	53	GUASUNTOS	R
06	02	54	HUIGRA	R
06	02	55	MULTITUD	R
06	02	56	PISTISHI (NARIZ DEL DIABLO)	R
06	02	57	PUMALLACTA	R
06	02	58	SEVILLA	R
06	02	59	SIBAMBE	R
06	02	60	TIXAN	R
06	03	01	CAJABAMBA	U
06	03	02	SICALPA	U
06	03	50	VILLA LA UNION (CAJABAMBA), CABECERA CANTONAL	U
06	03	51	CAÑI	R
06	03	52	COLUMBE	R
06	03	53	JUAN DE VELASCO (PANGOR)	R
06	04	50	CHAMBO, CABECERA CANTONAL	U
06	05	50	CHUNCHI, CABECERA CANTONAL	U
06	05	51	CAPZOL	R
06	05	52	COMPUD	R
06	05	53	GONZOL	R
06	05	54	LLAGOS	R
06	06	50	GUAMOTE, CABECERA CANTONAL	U
06	06	51	CEBADAS	R
06	06	52	PALMIRA	R
06	07	01	EL ROSARIO	U
06	07	02	LA MATRIZ	U
06	07	50	GUANO, CABECERA CANTONAL	U
06	07	51	GUANANDO	R
06	07	52	ILAPO	R
06	07	53	LA PROVIDENCIA	R
06	07	54	SAN ANDRES	R
06	07	55	SAN GERARDO DE PACAICAGUAN	R
06	07	56	SAN ISIDRO DE PATULU	R
06	07	57	SAN JOSE DEL CHAZO	R
06	07	58	SANTA FE DE GALAN	R
06	07	59	VALPARAISO	R
06	08	50	PALLATANGA, CABECERA CANTONAL	U
06	09	50	PENIPE, CABECERA CANTONAL	U
06	09	51	EL ALTAR	R
06	09	52	MATUS	R
06	09	53	PUELA	R
06	09	54	SAN ANTONIO DE BAYUSHIG	R
06	09	55	LA CANDELARIA	R
06	09	56	BILBAO (CAB.EN QUILLUYACU)	R
06	10	50	CUMANDA, CABECERA CANTONAL	U
07	01	01	LA PROVIDENCIA	U
07	01	02	MACHALA	U
07	01	03	PUERTO BOLIVAR	U
07	01	04	NUEVE DE MAYO	U
07	01	50	MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
07	01	51	*EL CAMBIO	R
10	04	54	PATAQUI	R
10	04	55	SAN JOSE DE QUICHINCHE	R
10	04	56	SAN JUAN DE ILUMAN	R
10	04	57	SAN PABLO	R
10	04	58	SAN RAFAEL	R
10	05	50	PIMAMPIRO, CABECERA CANTONAL	U
10	05	51	CHUGA	R
10	05	52	MARIANO ACOSTA	R
10	05	53	SAN FRANCISCO DE SIGSIPAMBA	R
10	06	50	URCUQUI, CABECERA CANTONAL	U
10	06	51	CAHUASQUI	R
10	06	52	LA MERCED DE BUENOS AIRES	R
10	06	53	PABLO ARENAS	R
10	06	54	SAN BLAS	R
10	06	55	TUMBABIRO	R
11	01	01	EL SAGRARIO	U
11	01	02	SAN SEBASTIAN	U
11	01	03	SUCRE	U
11	01	04	VALLE	U
11	01	50	LOJA, CABECERA CANTONAL Y CAPITAL PROVINCIAL	U
11	01	51	CHANTACO	R
11	01	52	CHUQUIRIBAMBA	R
11	01	53	EL CISNE	R
11	01	54	GUALEL	R
11	01	55	JIMBILLA	R
11	01	56	MALACATOS (VALLADOLID)	R
11	01	57	SAN LUCAS	R
11	01	58	SAN PEDRO DE VILCABAMBA	R
11	01	59	SANTIAGO	R
11	01	60	TAQUIL (MIGUEL RIOFRIO)	R
11	01	61	VILCABAMBA  (VICTORIA)	R
11	01	62	YANGANA (ARSENIO CASTILLO)	R
11	01	63	QUINARA	R
11	02	01	CARIAMANGA	U
11	02	02	CHILE	U
11	02	03	SAN VICENTE	U
11	02	50	CARIAMANGA, CABECERA CANTONAL	U
11	02	51	COLAISACA	R
11	02	52	EL LUCERO	R
11	02	53	UTUANA	R
11	02	54	SANGUILLIN	R
11	03	01	CATAMAYO	U
11	03	02	SAN JOSE	U
11	03	50	CATAMAYO (LA TOMA), CABECERA CANTONAL	U
11	03	51	EL TAMBO	R
11	03	52	GUAYQUICHUMA	R
11	03	53	SAN PEDRO DE LA BENDITA	R
11	03	54	ZAMBI	R
11	04	50	CELICA, CABECERA CANTONAL	U
11	04	52	*CHAQUINAL	R
11	04	54	*PINDAL (FEDERICO PAEZ)	R
11	04	55	POZUL (SAN JUAN DE POZUL)	R
11	04	56	SABANILLA	R
11	05	50	CHAGUARPAMBA, CABECERA CANTONAL	U
11	05	51	BUENAVISTA	R
11	05	52	EL ROSARIO	R
11	05	53	SANTA RUFINA	R
11	05	54	AMARILLOS	R
11	06	50	AMALUZA, CABECERA CANTONAL	U
11	06	51	BELLAVISTA	R
11	06	52	JIMBURA	R
11	06	53	SANTA TERESITA	R
11	06	55	EL INGENIO	R
11	06	56	EL AIRO	R
11	07	50	GONZANAMA, CABECERA CANTONAL	U
11	07	51	CHANGAIMINA (LA LIBERTAD)	R
11	07	52	*FUNDOCHAMBA	R
11	07	53	NAMBACOLA	R
11	07	54	PURUNUMA (EGUIGUREN)	R
11	07	55	*QUILANGA (LA PAZ)	R
11	07	56	SACAPALCA	R
11	08	50	MACARA, CABECERA CANTONAL	U
11	08	51	LARAMA	R
11	08	52	LA VICTORIA	R
11	08	53	SABIANGO (LA CAPILLA)	R
