REFERENCIA	CUENTA	FECHA DEL PAGO	PAGO
3123756	2533360	2021-8-23 0.0.0.0	27,25
3123757	2509590	2021-8-23 0.0.0.0	16,33
3123758	2545032	2021-8-23 0.0.0.0	11,8
3123759	107695	2021-8-23 0.0.0.0	40
3123760	2514521	2021-8-23 0.0.0.0	30
3123761	1100532	2021-8-23 0.0.0.0	11,75
3123762	1100075	2021-8-23 0.0.0.0	6,8
3123763	102832	2021-8-23 0.0.0.0	60,99
3123764	102423	2021-8-23 0.0.0.0	97,46
3123765	104581	2021-8-23 0.0.0.0	45,41
3123766	2520045	2021-8-23 0.0.0.0	22,54
3123767	107729	2021-8-23 0.0.0.0	100
3123768	2549196	2021-8-23 0.0.0.0	20
3123769	2533623	2021-8-23 0.0.0.0	13,85
3123770	108484	2021-8-23 0.0.0.0	14
3123771	2521273	2021-8-23 0.0.0.0	20
